InvoiceNo,InvoiceDate,CompanyName,NIP,ProductName,Category,Quantity,UnitPrice,Discount,Country,SalesRep
INV 5028,20.10.25,Firma Hurtowa 084,5989226392,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,177.51,0.05,Polska,Anna Nowak
INV 9898,21-06-2025,Firma Hurtowa 028,4128423319,Base One Pink 5kg,,23,"120,00",,Polska,Anna Nowak
INV 1043,07-11-2025,Firma Hurtowa 024,8001627774,Base One Clear 5kg,Żele,dziesięć,157.04,0,PL,Nowak Anna
INV 10654,08.07.25,Firma Hurtowa 039,,Primer Acid,Akcesoria,,84.62,10%,poland,J. Kowalski
INV 6571,22-12-2025,Firma Hurtowa 014,5813690655,Cleaner UV,Akcesoria,8,"120,00",0.05,poland,Nowak Anna
INV 1929,2025-11-27,Firma Hurtowa 098,,Flexy Hybrid Gel,Lakiery Hybrydowe,21,27.55,0.05,PL,J. Kowalski
INV 4843,2025-09-02,Firma Hurtowa 012,,Cuticle Oil Mango,,4,129.08,0.05,poland,J. Kowalski
INV 10473,10-03-2025,Firma Hurtowa 089,2958405086,Base One Clear 5kg,Żele,dziesięć,"120,00",0,poland,Nowak Anna
INV 10149,26.09.25,Firma Hurtowa 072,,Base One Clear 5kg,Żele,,"120,00",0.1,poland,Jan Kowalski
INV 5413,01-04-2025,Firma Hurtowa 097,9090425089,Cuticle Oil Mango,Pielęgnacja,dziesięć,136.49,0,PL,J. Kowalski
INV 3231,2025-11-17,Firma Hurtowa 088,,Base One Pink 5kg,Żele,49,82.44,0,PL,Jan Kowalski
INV 5046,12.12.25,Firma Hurtowa 045,,Base One Pink 5kg,Żele,dziesięć,"120,00",10%,poland,Anna Nowak
INV 1093,14-02-2025,Firma Hurtowa 038,7839116054,Primer Acid,,dziesięć,"120,00",0.1,PL,Jan Kowalski
INV 9754,04-02-2025,Firma Hurtowa 062,,Base One Pink 5kg,Żele,,"120,00",0.05,PL,Anna Nowak
INV 238,04-01-2025,Firma Hurtowa 097,3451005985,Cleaner UV,Akcesoria,dziesięć,"120,00",10%,poland,Anna Nowak
INV 9586,2025-12-24,Firma Hurtowa 072,1436637851,Base One Clear 5kg,Żele,dziesięć,122.17,0,poland,J. Kowalski
INV 2488,26.12.25,Firma Hurtowa 026,,Base One Pink 5kg,Żele,dziesięć,103.09,0.05,PL,Anna Nowak
INV 4089,2025-04-06,Firma Hurtowa 007,,Base One Pink 5kg,Żele,18,"120,00",10%,PL,Anna Nowak
INV 454,20.07.25,Firma Hurtowa 053,,Cleaner UV,Akcesoria,13,148.22,0.05,Polska,J. Kowalski
INV 6803,19-08-2025,Firma Hurtowa 050,4801089674,Flexy Hybrid Gel,Lakiery Hybrydowe,,34.82,0.1,PL,J. Kowalski
INV 7778,16-02-2025,Firma Hurtowa 040,6034043044,Primer Acid,Akcesoria,dziesięć,25.35,10%,PL,J. Kowalski
INV 9327,26.02.25,Firma Hurtowa 097,4139748745,Base One Pink 5kg,Żele,dziesięć,"120,00",0,PL,Anna Nowak
INV 2205,22.11.25,Firma Hurtowa 052,,Base One Clear 5kg,Żele,dziesięć,"120,00",,Polska,J. Kowalski
INV 5857,2025-11-04,Firma Hurtowa 002,3222219628,Base One Clear 5kg,Żele,dziesięć,"120,00",0.05,Polska,Anna Nowak
INV 775,07.11.25,Firma Hurtowa 061,,Base One Clear 5kg,Żele,dziesięć,107.4,0,Polska,J. Kowalski
INV 1448,2025-11-08,Firma Hurtowa 007,,Flexy Hybrid Gel,,20,14.95,0,poland,J. Kowalski
INV 7969,2025-02-22,Firma Hurtowa 019,,Primer Acid,Akcesoria,14,"120,00",10%,poland,Jan Kowalski
INV 1215,11-04-2025,Firma Hurtowa 056,,Cleaner UV,Akcesoria,dziesięć,59.16,0,Polska,Anna Nowak
INV 7433,20-02-2025,Firma Hurtowa 072,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,120.89,10%,poland,J. Kowalski
INV 7785,2025-11-23,Firma Hurtowa 003,,Cuticle Oil Mango,Pielęgnacja,,"120,00",10%,PL,J. Kowalski
INV 4391,24.04.25,Firma Hurtowa 099,,Cleaner UV,Akcesoria,dziesięć,"120,00",0.05,Polska,Jan Kowalski
INV 7858,01-01-2025,Firma Hurtowa 006,,Base One Clear 5kg,Żele,30,"120,00",0.05,PL,Jan Kowalski
INV 9511,2025-04-13,Firma Hurtowa 086,,Primer Acid,Akcesoria,33,"120,00",10%,poland,Nowak Anna
INV 10141,2025-05-05,Firma Hurtowa 051,,Base One Clear 5kg,Żele,,119.18,10%,PL,Nowak Anna
INV 3839,18.11.25,Firma Hurtowa 021,,Cleaner UV,Akcesoria,,"120,00",0,PL,J. Kowalski
INV 8612,20.07.25,Firma Hurtowa 005,,Primer Acid,Akcesoria,dziesięć,65.15,,Polska,Nowak Anna
INV 8245,2025-12-03,Firma Hurtowa 055,,Cuticle Oil Mango,Pielęgnacja,,196.42,0,poland,Anna Nowak
INV 9176,22-12-2025,Firma Hurtowa 069,7618444313,Cleaner UV,,6,128.31,0,Polska,J. Kowalski
INV 6378,12.07.25,Firma Hurtowa 076,,Primer Acid,Akcesoria,,166.16,10%,poland,J. Kowalski
INV 8597,17.02.25,Firma Hurtowa 029,,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",0,Polska,J. Kowalski
INV 5409,29.04.25,Firma Hurtowa 004,2327907151,Flexy Hybrid Gel,Lakiery Hybrydowe,,55.77,,PL,J. Kowalski
INV 401,12-04-2025,Firma Hurtowa 051,8430439623,Base One Pink 5kg,Żele,,"120,00",10%,poland,Anna Nowak
INV 3477,06.04.25,Firma Hurtowa 049,1678533831,Base One Clear 5kg,Żele,,"120,00",10%,PL,Jan Kowalski
INV 5438,09.07.25,Firma Hurtowa 013,,Cleaner UV,,49,87.54,0.05,PL,Nowak Anna
INV 2316,30-12-2025,Firma Hurtowa 051,,Base One Clear 5kg,,dziesięć,34.46,0.1,Polska,Anna Nowak
INV 11919,29.11.25,Firma Hurtowa 008,8722464680,Cuticle Oil Mango,Pielęgnacja,,"120,00",10%,poland,Jan Kowalski
INV 1973,22-09-2025,Firma Hurtowa 080,,Base One Pink 5kg,,,"120,00",,poland,Nowak Anna
INV 6026,2025-07-29,Firma Hurtowa 094,1166408162,Primer Acid,Akcesoria,,"120,00",0,PL,J. Kowalski
INV 6144,19-04-2025,Firma Hurtowa 035,,Base One Clear 5kg,Żele,,"120,00",,PL,Nowak Anna
INV 11907,10.10.25,Firma Hurtowa 099,,Flexy Hybrid Gel,Lakiery Hybrydowe,12,"120,00",,Polska,Nowak Anna
INV 7289,28.08.25,Firma Hurtowa 033,,Cuticle Oil Mango,Pielęgnacja,,"120,00",0.1,PL,Jan Kowalski
INV 2900,2025-10-11,Firma Hurtowa 004,,Base One Clear 5kg,Żele,20,"120,00",0.05,Polska,Jan Kowalski
INV 1119,2025-06-21,Firma Hurtowa 047,7878862745,Base One Clear 5kg,Żele,dziesięć,69.74,,poland,Nowak Anna
INV 10318,09.10.25,Firma Hurtowa 003,7288055508,Primer Acid,Akcesoria,,"120,00",0,PL,Jan Kowalski
INV 7026,2025-10-16,Firma Hurtowa 059,4987405334,Cleaner UV,Akcesoria,,101.77,,Polska,Anna Nowak
INV 9152,03.10.25,Firma Hurtowa 014,4676523570,Cuticle Oil Mango,,,"120,00",0,PL,Anna Nowak
INV 9474,30-08-2025,Firma Hurtowa 058,,Base One Pink 5kg,Żele,5,"120,00",0,poland,Anna Nowak
INV 2923,2025-09-16,Firma Hurtowa 079,,Cuticle Oil Mango,Pielęgnacja,dziesięć,141.2,0,PL,Jan Kowalski
INV 6710,2025-08-12,Firma Hurtowa 088,,Cleaner UV,Akcesoria,,195.03,0,Polska,Nowak Anna
INV 1615,17-05-2025,Firma Hurtowa 031,1138651997,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,15.54,0.05,Polska,Jan Kowalski
INV 994,2025-08-24,Firma Hurtowa 006,6705150346,Base One Clear 5kg,Żele,dziesięć,"120,00",,poland,Nowak Anna
INV 8779,2025-04-12,Firma Hurtowa 008,,Cuticle Oil Mango,Pielęgnacja,dziesięć,"120,00",10%,Polska,J. Kowalski
INV 6074,06.05.25,Firma Hurtowa 061,,Cuticle Oil Mango,Pielęgnacja,dziesięć,"120,00",0,PL,Jan Kowalski
INV 5029,02-03-2025,Firma Hurtowa 058,1938597893,Base One Pink 5kg,Żele,22,15.18,,PL,Anna Nowak
INV 8512,10-06-2025,Firma Hurtowa 042,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,157.76,0,poland,Nowak Anna
INV 3170,08.02.25,Firma Hurtowa 060,,Base One Pink 5kg,Żele,,24.97,0,Polska,Nowak Anna
INV 5816,2025-12-06,Firma Hurtowa 014,2071315950,Base One Pink 5kg,Żele,dziesięć,52.48,,poland,Jan Kowalski
INV 1357,11-01-2025,Firma Hurtowa 098,2456300441,Cuticle Oil Mango,Pielęgnacja,49,"120,00",,PL,Nowak Anna
INV 1367,06.11.25,Firma Hurtowa 041,,Base One Pink 5kg,Żele,32,"120,00",10%,PL,J. Kowalski
INV 8610,20-03-2025,Firma Hurtowa 019,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,191.45,0.05,poland,Jan Kowalski
INV 6716,2025-02-23,Firma Hurtowa 032,,Cleaner UV,Akcesoria,,"120,00",0.1,Polska,Nowak Anna
INV 11330,18-11-2025,Firma Hurtowa 007,,Base One Pink 5kg,Żele,dziesięć,159.06,0,PL,Nowak Anna
INV 2819,07.10.25,Firma Hurtowa 023,3641842636,Cuticle Oil Mango,Pielęgnacja,dziesięć,186.24,0,Polska,Jan Kowalski
INV 990,2025-07-30,Firma Hurtowa 067,,Base One Clear 5kg,Żele,28,175.87,0,PL,Anna Nowak
INV 5821,04.10.25,Firma Hurtowa 040,,Cuticle Oil Mango,Pielęgnacja,,"120,00",10%,PL,Nowak Anna
INV 9346,17.09.25,Firma Hurtowa 002,4018532132,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",,PL,Anna Nowak
INV 7700,2025-12-23,Firma Hurtowa 035,,Base One Clear 5kg,,dziesięć,"120,00",0.05,Polska,Nowak Anna
INV 79,25.06.25,Firma Hurtowa 080,,Base One Clear 5kg,Żele,8,"120,00",,poland,Jan Kowalski
INV 11517,27.05.25,Firma Hurtowa 074,8644772854,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,21.84,,poland,J. Kowalski
INV 11102,05.12.25,Firma Hurtowa 048,8282097387,Base One Pink 5kg,Żele,dziesięć,"120,00",0.05,Polska,Jan Kowalski
INV 5742,06-07-2025,Firma Hurtowa 019,2204027754,Base One Clear 5kg,,dziesięć,132.11,0.1,poland,Anna Nowak
INV 2828,13.11.25,Firma Hurtowa 088,,Cuticle Oil Mango,Pielęgnacja,26,123.38,0.1,poland,Anna Nowak
INV 5783,21.05.25,Firma Hurtowa 048,,Base One Pink 5kg,,28,"120,00",0.1,PL,Anna Nowak
INV 11208,2025-01-16,Firma Hurtowa 078,,Cuticle Oil Mango,Pielęgnacja,,"120,00",,PL,J. Kowalski
INV 10222,2025-01-13,Firma Hurtowa 035,5472847375,Base One Clear 5kg,,,68.15,0.1,PL,Anna Nowak
INV 11766,09.01.25,Firma Hurtowa 014,,Base One Clear 5kg,Żele,5,36.35,0.05,Polska,J. Kowalski
INV 9700,28.07.25,Firma Hurtowa 055,7032555837,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",0.05,PL,Anna Nowak
INV 2758,11-02-2025,Firma Hurtowa 077,5356682763,Primer Acid,Akcesoria,,181.87,0.1,Polska,Anna Nowak
INV 6767,26.12.25,Firma Hurtowa 039,,Primer Acid,,,59.46,0,Polska,Nowak Anna
INV 233,12-11-2025,Firma Hurtowa 079,,Base One Pink 5kg,,41,"120,00",0,poland,Nowak Anna
INV 1681,17.01.25,Firma Hurtowa 033,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,"120,00",0.05,poland,Anna Nowak
INV 2309,22.09.25,Firma Hurtowa 040,,Primer Acid,,,103.81,0.1,Polska,Jan Kowalski
INV 7065,05-05-2025,Firma Hurtowa 014,,Flexy Hybrid Gel,Lakiery Hybrydowe,3,88.54,0,poland,Jan Kowalski
INV 11184,08.01.25,Firma Hurtowa 042,,Cuticle Oil Mango,Pielęgnacja,dziesięć,"120,00",10%,PL,Nowak Anna
INV 10061,2025-10-03,Firma Hurtowa 091,3439022113,Primer Acid,Akcesoria,41,187.17,10%,poland,Jan Kowalski
INV 3521,26.12.25,Firma Hurtowa 001,3964437563,Base One Clear 5kg,Żele,30,"120,00",0.1,Polska,Jan Kowalski
INV 8832,2025-02-03,Firma Hurtowa 027,2094015963,Base One Pink 5kg,Żele,39,"120,00",10%,poland,J. Kowalski
INV 3487,2025-08-01,Firma Hurtowa 010,,Base One Clear 5kg,Żele,dziesięć,"120,00",,poland,Jan Kowalski
INV 2119,2025-09-01,Firma Hurtowa 014,7314309062,Base One Pink 5kg,,,"120,00",10%,Polska,Anna Nowak
INV 8234,31-10-2025,Firma Hurtowa 038,,Primer Acid,Akcesoria,dziesięć,161.56,10%,poland,J. Kowalski
INV 6802,2025-08-23,Firma Hurtowa 049,,Cuticle Oil Mango,Pielęgnacja,,"120,00",0.1,Polska,Nowak Anna
INV 9768,17-02-2025,Firma Hurtowa 012,9209125468,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",0.05,poland,Nowak Anna
INV 10842,27-10-2025,Firma Hurtowa 056,,Cleaner UV,Akcesoria,,159.37,0,poland,Jan Kowalski
INV 6558,07.01.25,Firma Hurtowa 034,,Primer Acid,Akcesoria,dziesięć,61.46,0.1,Polska,Jan Kowalski
INV 3454,10.10.25,Firma Hurtowa 031,2309876362,Base One Pink 5kg,Żele,5,"120,00",,PL,Jan Kowalski
INV 8826,24-04-2025,Firma Hurtowa 002,,Flexy Hybrid Gel,,40,"120,00",0.1,poland,J. Kowalski
INV 3786,2025-03-19,Firma Hurtowa 004,1189458794,Base One Pink 5kg,Żele,,"120,00",0.1,Polska,Jan Kowalski
INV 3819,2025-04-12,Firma Hurtowa 098,,Cuticle Oil Mango,Pielęgnacja,,98.71,0.05,poland,J. Kowalski
INV 10494,2025-12-26,Firma Hurtowa 062,,Flexy Hybrid Gel,Lakiery Hybrydowe,dziesięć,"120,00",,Polska,Nowak Anna
INV 4364,06.09.25,Firma Hurtowa 012,5926424537,Flexy Hybrid Gel,Lakiery Hybrydowe,,86.93,0.1,poland,Nowak Anna
INV 5586,24-02-2025,Firma Hurtowa 088,,Cleaner UV,,15,"120,00",0.05,PL,Jan Kowalski
INV 1154,2025-08-13,Firma Hurtowa 078,,Base One Clear 5kg,Żele,dziesięć,"120,00",10%,poland,Anna Nowak
INV 2944,01.10.25,Firma Hurtowa 043,,Base One Pink 5kg,,dziesięć,"120,00",0,Polska,J. Kowalski
INV 1501,2025-06-10,Firma Hurtowa 084,,Base One Pink 5kg,Żele,49,41.32,10%,Polska,Anna Nowak
INV 4497,2025-11-12,Firma Hurtowa 079,5498661025,Base One Clear 5kg,Żele,dziesięć,113.9,0.1,poland,Nowak Anna
INV 11167,04-11-2025,Firma Hurtowa 010,,Cleaner UV,Akcesoria,24,"120,00",10%,poland,J. Kowalski
INV 8433,27-08-2025,Firma Hurtowa 010,,Cleaner UV,Akcesoria,,98.7,,Polska,J. Kowalski
INV 5858,2025-12-27,Firma Hurtowa 067,,Primer Acid,Akcesoria,28,"120,00",0,PL,Nowak Anna
INV 5141,05-02-2025,Firma Hurtowa 019,1793163323,Cuticle Oil Mango,Pielęgnacja,dziesięć,94.66,0.05,Polska,Anna Nowak
INV 11211,19.06.25,Firma Hurtowa 076,,Flexy Hybrid Gel,Lakiery Hybrydowe,12,146.53,10%,PL,J. Kowalski
INV 4119,22-02-2025,Firma Hurtowa 034,2051534622,Primer Acid,Akcesoria,dziesięć,"120,00",0.05,PL,J. Kowalski
INV 1748,01-07-2025,Firma Hurtowa 031,,Flexy Hybrid Gel,Lakiery Hybrydowe,42,14.37,0.1,PL,Jan Kowalski
INV 2797,2025-06-15,Firma Hurtowa 079,,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",10%,PL,J. Kowalski
INV 9249,2025-06-14,Firma Hurtowa 009,5738090865,Cleaner UV,Akcesoria,dziesięć,166.41,,poland,Anna Nowak
INV 8015,2025-03-29,Firma Hurtowa 039,,Primer Acid,,,170.2,0.05,Polska,J. Kowalski
INV 10753,14.11.25,Firma Hurtowa 058,8606584373,Base One Pink 5kg,Żele,dziesięć,34.89,0,PL,Nowak Anna
INV 10165,2025-08-11,Firma Hurtowa 013,,Primer Acid,Akcesoria,2,26.6,10%,poland,J. Kowalski
INV 11321,2025-02-04,Firma Hurtowa 058,,Cleaner UV,Akcesoria,,114.56,0,poland,Nowak Anna
INV 9023,06.05.25,Firma Hurtowa 047,,Base One Pink 5kg,Żele,dziesięć,"120,00",0,PL,J. Kowalski
INV 6495,07.06.25,Firma Hurtowa 027,,Base One Clear 5kg,,,"120,00",0,Polska,Anna Nowak
INV 8176,2025-06-16,Firma Hurtowa 001,8156131557,Base One Pink 5kg,Żele,,181.29,0.1,poland,Nowak Anna
INV 5240,08.04.25,Firma Hurtowa 012,,Cleaner UV,Akcesoria,,141.49,0,poland,J. Kowalski
INV 4842,22-05-2025,Firma Hurtowa 056,,Base One Pink 5kg,Żele,dziesięć,"120,00",10%,PL,Jan Kowalski
INV 3969,2025-12-09,Firma Hurtowa 079,,Base One Clear 5kg,Żele,,106.84,10%,poland,Jan Kowalski
INV 7501,21-05-2025,Firma Hurtowa 028,1193780169,Base One Clear 5kg,Żele,dziesięć,73.51,0.1,Polska,Anna Nowak
INV 3109,13.08.25,Firma Hurtowa 049,,Base One Pink 5kg,Żele,dziesięć,"120,00",,poland,Nowak Anna
INV 3851,2025-03-19,Firma Hurtowa 038,,Primer Acid,Akcesoria,31,76.4,0,Polska,Jan Kowalski
INV 11795,2025-07-09,Firma Hurtowa 066,,Primer Acid,Akcesoria,34,72.55,,Polska,J. Kowalski
INV 10747,09-07-2025,Firma Hurtowa 084,,Flexy Hybrid Gel,Lakiery Hybrydowe,,139.19,0.1,PL,Anna Nowak
INV 9025,2025-04-09,Firma Hurtowa 058,4573684729,Base One Pink 5kg,Żele,1,137.8,0.05,Polska,J. Kowalski
INV 8968,2025-05-28,Firma Hurtowa 002,3759361327,Flexy Hybrid Gel,Lakiery Hybrydowe,23,"120,00",,Polska,Anna Nowak
INV 8197,2025-02-06,Firma Hurtowa 064,5954359248,Flexy Hybrid Gel,Lakiery Hybrydowe,50,"120,00",,Polska,J. Kowalski
INV 4700,03.05.25,Firma Hurtowa 063,9567365166,Primer Acid,Akcesoria,36,"120,00",10%,poland,J. Kowalski
INV 9157,25.03.25,Firma Hurtowa 096,,Cuticle Oil Mango,Pielęgnacja,dziesięć,"120,00",,poland,J. Kowalski
INV 1743,02.05.25,Firma Hurtowa 004,,Cuticle Oil Mango,Pielęgnacja,6,90.16,0.1,Polska,Anna Nowak
INV 1771,16.09.25,Firma Hurtowa 024,,Primer Acid,Akcesoria,,"120,00",,Polska,Nowak Anna
INV 11437,2025-08-01,Firma Hurtowa 002,,Primer Acid,Akcesoria,dziesięć,"120,00",0,poland,Nowak Anna
INV 1833,14-03-2025,Firma Hurtowa 059,,Primer Acid,,dziesięć,"120,00",10%,poland,J. Kowalski
INV 11278,02-06-2025,Firma Hurtowa 022,,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",0,Polska,J. Kowalski
INV 10138,2025-06-01,Firma Hurtowa 011,,Cleaner UV,Akcesoria,dziesięć,136.56,0.05,Polska,Jan Kowalski
INV 8924,2025-07-10,Firma Hurtowa 085,,Cleaner UV,Akcesoria,6,"120,00",0.1,poland,Jan Kowalski
INV 5081,01-11-2025,Firma Hurtowa 008,,Cleaner UV,Akcesoria,dziesięć,98.38,0,poland,Nowak Anna
INV 9452,23-01-2025,Firma Hurtowa 068,,Base One Pink 5kg,Żele,dziesięć,148.4,0.05,poland,Anna Nowak
INV 5083,2025-03-09,Firma Hurtowa 100,,Cleaner UV,Akcesoria,,"120,00",0.05,PL,J. Kowalski
INV 5530,09.02.25,Firma Hurtowa 041,,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",0.05,poland,Anna Nowak
INV 566,20-05-2025,Firma Hurtowa 027,,Base One Clear 5kg,Żele,19,168.18,,poland,Nowak Anna
INV 11320,04-04-2025,Firma Hurtowa 074,,Cleaner UV,Akcesoria,,"120,00",,Polska,Jan Kowalski
INV 10785,14.06.25,Firma Hurtowa 061,,Primer Acid,Akcesoria,,127.81,10%,poland,Jan Kowalski
INV 10186,2025-05-11,Firma Hurtowa 006,,Flexy Hybrid Gel,Lakiery Hybrydowe,,78.01,10%,poland,Anna Nowak
INV 5913,25-09-2025,Firma Hurtowa 007,4861274119,Cuticle Oil Mango,Pielęgnacja,,35.99,0.1,Polska,Jan Kowalski
INV 2317,23.05.25,Firma Hurtowa 036,,Primer Acid,Akcesoria,,"120,00",0.05,PL,Nowak Anna
INV 9170,2025-06-07,Firma Hurtowa 070,,Base One Clear 5kg,Żele,5,"120,00",0.05,poland,J. Kowalski
INV 385,2025-05-22,Firma Hurtowa 040,,Cuticle Oil Mango,,,31.05,,poland,Jan Kowalski
INV 2503,02-01-2025,Firma Hurtowa 015,3790703507,Flexy Hybrid Gel,Lakiery Hybrydowe,6,"120,00",0,Polska,Jan Kowalski
INV 2235,2025-11-26,Firma Hurtowa 021,,Base One Pink 5kg,Żele,44,"120,00",0.1,Polska,Anna Nowak
INV 8460,22.12.25,Firma Hurtowa 018,3102878319,Primer Acid,Akcesoria,25,34.56,,Polska,Jan Kowalski
INV 4118,24.01.25,Firma Hurtowa 024,,Primer Acid,Akcesoria,14,160.6,0,Polska,J. Kowalski
INV 2401,25.06.25,Firma Hurtowa 034,,Base One Pink 5kg,Żele,,179.47,10%,poland,Anna Nowak
INV 4543,2025-06-11,Firma Hurtowa 064,,Flexy Hybrid Gel,Lakiery Hybrydowe,,"120,00",10%,poland,Jan Kowalski
INV 1365,2025-07-27,Firma Hurtowa 084,,Primer Acid,Akcesoria,dziesięć,"120,00",0.05,PL,Jan Kowalski
INV 8404,05-10-2025,Firma Hurtowa 018,,Primer Acid,,dziesięć,"120,00",10%,Polska,Anna Nowak
INV 6982,25-04-2025,Firma Hurtowa 044,,Cleaner UV,Akcesoria,dziesięć,"120,00",0,PL,Nowak Anna
INV 8774,2025-04-11,Firma Hurtowa 099,,Base One Pink 5kg,Żele,,"120,00",,poland,Jan Kowalski
INV 3117,2025-03-22,Firma Hurtowa 058,,Flexy Hybrid Gel,Lakiery Hybrydowe,1,"120,00",0,PL,Jan Kowalski
INV 5439,28.09.25,Firma Hurtowa 076,3709723863,Primer Acid,Akcesoria,dziesięć,125.82,0.1,poland,Nowak Anna
INV 1583,14.12.25,Firma Hurtowa 095,,Cuticle Oil Mango,Pielęgnacja,27,"120,00",0.05,PL,J. Kowalski
INV 8414,04-01-2025,Firma Hurtowa 027,1642599896,Base One Pink 5kg,Żele,48,"120,00",10%,poland,Nowak Anna
INV 5280,2025-11-20,Firma Hurtowa 021,9921554867,Cuticle Oil Mango,Pielęgnacja,,114.73,0,PL,J. Kowalski
INV 9232,19.04.25,Firma Hurtowa 078,,Flexy Hybrid Gel,,46,81.55,0.05,poland,Anna Nowak
INV 10263,14.11.25,Firma Hurtowa 008,,Base One Pink 5kg,Żele,18,"120,00",,poland,Jan Kowalski
INV 2143,04-03-2025,Firma Hurtowa 006,,Base One Pink 5kg,Żele,,91.73,10%,poland,Anna Nowak
INV 10165,16-02-2025,Firma Hurtowa 032,8841757278,Primer Acid,Akcesoria,42,"120,00",0.05,poland,Anna Nowak
INV 3777,12.02.25,Firma Hurtowa 060,6773756545,Base One Pink 5kg,Żele,28,172.53,0.1,poland,J. Kowalski
INV 10274,04-07-2025,Firma Hurtowa 039,,Cuticle Oil Mango,Pielęgnacja,36,"120,00",0.1,Polska,Jan Kowalski
INV 11573,2025-08-10,Firma Hurtowa 024,2602227799,Cuticle Oil Mango,Pielęgnacja,18,133.04,,PL,J. Kowalski
INV 6029,21-12-2025,Firma Hurtowa 060,,Base One Pink 5kg,Żele,,91.42,,PL,J. Kowalski
INV 4245,21-03-2025,Firma Hurtowa 041,4361704456,Cuticle Oil Mango,Pielęgnacja,41,"120,00",,PL,Nowak Anna
INV 10927,21-09-2025,Firma Hurtowa 072,,Base One Pink 5kg,,dziesięć,106.6,,poland,Anna Nowak
INV 1291,2025-03-29,Firma Hurtowa 027,,Cuticle Oil Mango,Pielęgnacja,dziesięć,"120,00",,PL,Anna Nowak
INV 3529,2025-10-29,Firma Hurtowa 043,1847810573,Base One Clear 5kg,Żele,dziesięć,118.19,0.05,poland,Anna Nowak
INV 1731,23.06.25,Firma Hurtowa 077,,Base One Clear 5kg,Żele,,196.4,,PL,Anna Nowak
INV 8325,2025-02-21,Firma Hurtowa 007,,Primer Acid,Akcesoria,dziesięć,"120,00",0,PL,Jan Kowalski
INV 1662,24-04-2025,Firma Hurtowa 017,4834863729,Cuticle Oil Mango,Pielęgnacja,,85.12,0.05,Polska,Jan Kowalski
INV 2763,2025-07-25,Firma Hurtowa 075,,Base One Pink 5kg,Żele,,"120,00",10%,Polska,Nowak Anna
INV 9923,13.07.25,Firma Hurtowa 078,,Base One Clear 5kg,Żele,4,51.07,,poland,Jan Kowalski
INV 4434,18-05-2025,Firma Hurtowa 052,,Cleaner UV,Akcesoria,,183.29,0.05,poland,Anna Nowak
INV 985,2025-04-01,Firma Hurtowa 063,,Base One Clear 5kg,Żele,,"120,00",10%,PL,Jan Kowalski
INV 4871,2025-05-23,Firma Hurtowa 029,1015714342,Base One Clear 5kg,Żele,dziesięć,"120,00",0,PL,Nowak Anna
INV 5137,06.05.25,Firma Hurtowa 042,,Flexy Hybrid Gel,Lakiery Hybrydowe,44,"120,00",0.1,Polska,J. Kowalski
INV 6104,30-09-2025,Firma Hurtowa 034,3607740949,Primer Acid,Akcesoria,36,"120,00",0.05,Polska,J. Kowalski
INV 10163,24.07.25,Firma Hurtowa 015,,Cleaner UV,Akcesoria,dziesięć,149.16,10%,PL,Jan Kowalski
INV 1373,2025-08-07,Firma Hurtowa 016,,Cleaner UV,,dziesięć,44.32,10%,Polska,Jan Kowalski
INV 7360,03-03-2025,Firma Hurtowa 054,4538208789,Base One Pink 5kg,Żele,50,179.99,0,Polska,J. Kowalski
INV 3431,17-01-2025,Firma Hurtowa 012,,Base One Clear 5kg,Żele,dziesięć,95.16,0,poland,Jan Kowalski
INV 2394,15-08-2025,Firma Hurtowa 092,,Cleaner UV,,,33.75,0.1,PL,Anna Nowak
INV 2106,10.05.25,Firma Hurtowa 022,5235910547,Cleaner UV,Akcesoria,dziesięć,"120,00",0.05,poland,Nowak Anna
INV 7764,2025-07-20,Firma Hurtowa 038,5893567592,Primer Acid,Akcesoria,,49.79,0.05,PL,Jan Kowalski
INV 2839,20-11-2025,Firma Hurtowa 060,,Primer Acid,Akcesoria,20,"120,00",0,PL,Nowak Anna
INV 7655,19-03-2025,Firma Hurtowa 079,5590418737,Primer Acid,,dziesięć,"120,00",10%,Polska,Nowak Anna
INV 4132,08-10-2025,Firma Hurtowa 058,,Primer Acid,Akcesoria,dziesięć,148.27,0,PL,J. Kowalski
INV 10303,16.07.25,Firma Hurtowa 036,,Base One Pink 5kg,Żele,49,"120,00",0.05,Polska,Jan Kowalski
INV 11757,29-07-2025,Firma Hurtowa 059,2084601121,Base One Pink 5kg,Żele,,"120,00",0.05,Polska,Nowak Anna
